City,Latitude,Longitude
Jeddah,21.5891562,39.1444527
Jeddah,21.56800706,39.1694375
Jeddah,21.57527529,39.20985634
Jeddah,21.61189127,39.11999792
Jeddah,21.58796565,39.23210167
Jeddah,21.68484526,39.1192468
Jeddah,21.4425955,39.2726567
Jeddah,21.76253163,39.07322646
Jeddah,21.76804035,39.20379393
Jeddah,21.80068333,39.14332554
Jeddah,21.62315194,39.1548125
Jeddah,21.47918084,39.22010822
Jeddah,21.57525533,39.20986707
Makkah,21.37588761,39.78778981
Makkah,21.37852538,39.88133448
Makkah,21.42556909,39.78860304
Taif,21.25461011,40.41060497
Rabigh,22.7825449,39.03374051
Al Qunfudhah,19.13192699,41.08605154
Madinah,24.45206302,39.50602135
Madinah,24.48344801,39.63108896
Riyadh,24.75467931,46.76813511
Riyadh,24.78706786,46.78976273
Riyadh,24.80702933,46.64885778
Riyadh,24.58805173,46.6221196
Riyadh,24.61427221,46.75965531
Riyadh,24.80764056,46.61509877
Riyadh,24.80141977,46.73953942
Riyadh,24.68090983,46.6921875
Riyadh,24.6988733,46.77306418
Riyadh,24.84407875,46.80532706
Riyadh,24.77989296,46.77365865
Riyadh,24.8078131,46.87376975
Riyadh,24.81914686,46.83267677
Riyadh,24.74680724,46.82353048
Riyadh,24.75461854,46.67760642
Riyadh,24.63123317,46.56226958
Riyadh,24.1512205,47.31542467
Riyadh,25.90687075,45.35746239
Hail -1,27.50140554,41.6773171
Hail,27.49223964,41.67921987
Hail,,
Al Qassim,26.35864839,43.96914903
Al Qassim,26.09788871,43.98459983
Al Duwadimi,24.52786764,44.42555346
Riyadh,24.1512205,47.31542467
Al Quwaiiyah,24.05152314,45.26330177
Ar Rass ,25.87400074,43.5239375
Riyadh,25.90687075,45.35746239
Dammam,27.5014246,41.67730879
Dammam,26.45297912,50.07063767
Dammam,26.39930167,50.07046323
Al Khobar,26.19124437,50.19008928
Al Khobar,26.29555841,50.20784921
Ihssa,25.42887095,49.57311562
Jubail,26.98832911,49.64546358
Al Qatif,26.55352314,50.01449587
Hafar Al Batin,28.42912148,45.9755625
Al Baha,20.00549928,41.46470577
Abha,18.25497552,42.48924883
Khamis Mushait,18.30405039,42.70849331
Khamis Mushait,18.27224352,42.74181645
Khamis Mushait,18.3030761,42.77522441
Jizan,16.92339387,42.55439367
Abu Arish,16.96036063,42.81883483
Najran,17.54910555,44.24538878
Sabya,17.16282959,42.64585706
Samtah,16.59796646,42.93756348
Ahad Al Masarihah,16.70320765,42.95374442
Ahad Rafidah,18.17774976,42.8256874
Asir,18.5394866,42.06902513
Bisha,19.99430772,42.59602376
Tabouk,28.38155199,36.57854579
Skaka,29.94809572,40.17987832
Alqurayat,31.33003718,37.3405106
Arar,30.9741964,41.002214
